clip_id,AU01_r_mean,AU01_r_std,AU01_r_q95,AU02_r_mean,AU02_r_std,AU02_r_q95,AU04_r_mean,AU04_r_std,AU04_r_q95,AU05_r_mean,AU05_r_std,AU05_r_q95,AU06_r_mean,AU06_r_std,AU06_r_q95,AU07_r_mean,AU07_r_std,AU07_r_q95,AU09_r_mean,AU09_r_std,AU09_r_q95,AU12_r_mean,AU12_r_std,AU12_r_q95,label,source_id
Pol2_S125,0.35112852664576805,0.5406529761886629,1.2819999999999958,0.09554858934169279,0.20185989752582323,0.64,0.38858934169278997,0.37307857942653827,1.1,0.0638871473354232,0.1723038483465887,0.362999999999999,0.8404075235109717,0.6341201179337996,2.0409999999999995,1.777398119122257,1.0536622870809118,3.36,0.06855799373040752,0.12346079607321264,0.35099999999999965,0.6173040752351097,0.5474810283743913,1.8909999999999996,1,Pol2
Pol2_S126,0.6105050505050504,0.8927775664394225,2.566,0.16444444444444445,0.36576233563312727,1.1719999999999997,1.0116161616161616,0.6264276870342463,2.161,0.07787878787878788,0.18029608713239026,0.4969999999999996,0.6181818181818182,0.5146910379674464,1.4309999999999998,1.351818181818182,1.107637091193906,3.1969999999999996,0.1291919191919192,0.28795435000905306,0.6299999999999994,0.26707070707070707,0.40296161898878957,1.17,0,Pol2
Pol2_S20,0.3342857142857143,0.519897731091078,1.15,0.12263736263736263,0.2793915419257242,0.8600000000000001,0.489010989010989,0.37684672671187613,1.1949999999999998,0.07637362637362638,0.17257215227593278,0.45999999999999996,1.131978021978022,0.5163745836335388,1.97,2.058901098901099,0.841052846205213,3.41,0.10219780219780221,0.17869777215425425,0.535,0.7616483516483517,0.4260262478514251,1.385,1,Pol2
Pol2_S21,0.24426791277258567,0.35507328891151796,1.07,0.06900311526479751,0.13012351100114383,0.35,0.4580373831775701,0.37295384915312363,1.12,0.04171339563862929,0.0850690460816748,0.22,0.884018691588785,0.4564226244934981,1.68,2.10601246105919,0.7747828243090044,3.19,0.07498442367601246,0.133802850797806,0.37,0.3254205607476635,0.4152294855871082,1.17,1,Pol2
Pol2_S30,0.11991735537190082,0.15728687097025715,0.41,0.06975206611570248,0.14859600045042354,0.45,0.1271900826446281,0.13472950147422474,0.39,0.0487603305785124,0.12446264665843784,0.22,0.10958677685950413,0.17467301210268515,0.47,0.25322314049586775,0.30953248315277304,0.94,0.03181818181818182,0.05207366576943346,0.13,0.04115702479338843,0.07483526444402873,0.19,1,Pol2
Pol2_S35,0.39838709677419354,0.6352931540093687,1.9334999999999996,0.18604838709677418,0.37980308108505934,1.1534999999999995,0.6283870967741936,0.44145139283049023,1.4434999999999996,0.09126344086021507,0.2197824591128262,0.5834999999999996,0.9303763440860215,0.622818451029618,2.0134999999999996,1.7327688172043012,0.9845442363949648,3.19,0.056720430107526885,0.10690196184689404,0.32,0.5433064516129031,0.5225652903261774,1.5445,0,Pol2
Pol2_S4,0.2265845070422535,0.3653885437261663,0.8324999999999982,0.11485915492957746,0.30493175026342856,0.9119999999999959,0.38704225352112676,0.40051872502009617,1.2,0.07661971830985916,0.1745236315928953,0.47849999999999965,0.9316901408450705,0.6094050528909537,2.010999999999998,1.6142253521126761,1.0351188961897044,3.390999999999998,0.0965492957746479,0.19576811037135627,0.5984999999999996,0.5144366197183098,0.5689243767837521,1.9004999999999954,1,Pol2
Pol2_S42,0.4483546617915905,0.7448410101457191,2.1769999999999996,0.1556307129798903,0.373309761988144,0.9179999999999973,0.726581352833638,0.5560560805409749,1.93,0.0906764168190128,0.22293106461644163,0.58,0.9491407678244972,0.56496603703698,1.8769999999999993,1.9622486288848262,1.0404492673827015,3.35,0.08650822669104205,0.261002683076675,0.38699999999999934,0.42319926873857405,0.4201022491961735,1.1569999999999991,1,Pol2
Pol2_S43,0.19631147540983607,0.27748635829672846,0.7,0.0880327868852459,0.18337352632210965,0.4964999999999992,1.0804098360655738,0.6458492999528292,2.0284999999999993,0.06049180327868852,0.1411397084013936,0.38749999999999946,0.44606557377049183,0.40543325948415865,1.11,1.2562295081967212,1.026873879022926,2.775999999999999,0.04647540983606557,0.07813869985557673,0.1994999999999999,0.15147540983606558,0.19868440081159794,0.5494999999999999,1,Pol2
Pol2_S49,0.27767857142857144,0.46146009803440435,1.3525,0.03,0.04455843966584272,0.1225,0.39875,0.21111016081657466,0.6525000000000001,0.046607142857142854,0.10063935224741472,0.3,0.5696428571428571,0.306148890014553,0.935,2.157142857142857,0.3798024093260471,2.6725000000000003,0.02428571428571429,0.038887116018133716,0.10250000000000001,0.1357142857142857,0.21351480376913318,0.6024999999999999,0,Pol2
